=====[Train] Iter: 499 | Loss: 0.5736 | Accuracy: 0.736654 =====
[Eval] Iter: 11000 | Acc: 0.9238 | 2025-02-15 10:53:45.737584
[Eval] Iter: 11500 | Acc: 0.6366 | 2025-02-15 10:54:25.093696
[Eval] Iter: 12000 | Acc: 0.8348 | 2025-02-15 10:55:04.456267
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.656063 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.656063 =====
=====Best Valid IoU Is: 0.656063 =====
=====[Train] Iter: 8499 | Loss: 0.1833 | Accuracy: 0.939779 =====
=====[Train] Iter: 8999 | Loss: 0.3218 | Accuracy: 0.857747 =====
=====[Train] Iter: 9499 | Loss: 0.2173 | Accuracy: 0.939290 =====
=====[Train] Iter: 9999 | Loss: 0.4625 | Accuracy: 0.859049 =====
[Eval] Iter: 500 | Acc: 0.8674 | 2025-02-15 11:02:27.566402
[Eval] Iter: 1000 | Acc: 0.8537 | 2025-02-15 11:03:06.903356
[Eval] Iter: 1500 | Acc: 0.9450 | 2025-02-15 11:03:46.214898
[Eval] Iter: 2000 | Acc: 0.8979 | 2025-02-15 11:04:25.535539
[Eval] Iter: 2500 | Acc: 0.7762 | 2025-02-15 11:05:04.867063
[Eval] Iter: 3000 | Acc: 0.8423 | 2025-02-15 11:05:44.199630
[Eval] Iter: 3500 | Acc: 0.7378 | 2025-02-15 11:06:23.571540
[Eval] Iter: 4000 | Acc: 0.8325 | 2025-02-15 11:07:02.952523
[Eval] Iter: 4500 | Acc: 0.7140 | 2025-02-15 11:07:42.331613
[Eval] Iter: 5000 | Acc: 0.8439 | 2025-02-15 11:08:21.710785
[Eval] Iter: 5500 | Acc: 0.9129 | 2025-02-15 11:09:01.074780
[Eval] Iter: 6000 | Acc: 0.9237 | 2025-02-15 11:09:40.416256
[Eval] Iter: 6500 | Acc: 0.7516 | 2025-02-15 11:10:19.758506
[Eval] Iter: 7000 | Acc: 0.7896 | 2025-02-15 11:10:59.099882
[Eval] Iter: 7500 | Acc: 0.8573 | 2025-02-15 11:11:38.437020
[Eval] Iter: 8000 | Acc: 0.8960 | 2025-02-15 11:12:17.774752
[Eval] Iter: 8500 | Acc: 0.7777 | 2025-02-15 11:12:57.130175
[Eval] Iter: 9000 | Acc: 0.8916 | 2025-02-15 11:13:36.466326
[Eval] Iter: 9500 | Acc: 0.9242 | 2025-02-15 11:14:15.836274
[Eval] Iter: 10000 | Acc: 0.9637 | 2025-02-15 11:14:55.207915
[Eval] Iter: 10500 | Acc: 0.6219 | 2025-02-15 11:15:34.573236
[Eval] Iter: 11000 | Acc: 0.9460 | 2025-02-15 11:16:13.951284
[Eval] Iter: 11500 | Acc: 0.7510 | 2025-02-15 11:16:53.332092
[Eval] Iter: 12000 | Acc: 0.8381 | 2025-02-15 11:17:32.716578
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.669182 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.669182 =====
=====Best Valid IoU Is: 0.669182 =====
=====[Train] Iter: 10499 | Loss: 0.2877 | Accuracy: 0.890462 =====
=====[Train] Iter: 10999 | Loss: 0.5504 | Accuracy: 0.747559 =====
=====[Train] Iter: 11499 | Loss: 0.4604 | Accuracy: 0.824870 =====
=====[Train] Iter: 11999 | Loss: 0.3105 | Accuracy: 0.911133 =====
[Eval] Iter: 500 | Acc: 0.8615 | 2025-02-15 11:24:53.848936
[Eval] Iter: 1000 | Acc: 0.8700 | 2025-02-15 11:25:33.216526
[Eval] Iter: 1500 | Acc: 0.9377 | 2025-02-15 11:26:12.595204
[Eval] Iter: 2000 | Acc: 0.8944 | 2025-02-15 11:26:51.963733
[Eval] Iter: 2500 | Acc: 0.7858 | 2025-02-15 11:27:31.349446
[Eval] Iter: 3000 | Acc: 0.8817 | 2025-02-15 11:28:10.727233
[Eval] Iter: 3500 | Acc: 0.6364 | 2025-02-15 11:28:50.087456
[Eval] Iter: 4000 | Acc: 0.8517 | 2025-02-15 11:29:29.432227
[Eval] Iter: 4500 | Acc: 0.7106 | 2025-02-15 11:30:08.785022
[Eval] Iter: 5000 | Acc: 0.9027 | 2025-02-15 11:30:48.136887
[Eval] Iter: 5500 | Acc: 0.8903 | 2025-02-15 11:31:27.466100
[Eval] Iter: 6000 | Acc: 0.8989 | 2025-02-15 11:32:06.817115
[Eval] Iter: 6500 | Acc: 0.7703 | 2025-02-15 11:32:46.177516
[Eval] Iter: 7000 | Acc: 0.7829 | 2025-02-15 11:33:25.547386
[Eval] Iter: 7500 | Acc: 0.9103 | 2025-02-15 11:34:04.923721
[Eval] Iter: 8000 | Acc: 0.8874 | 2025-02-15 11:34:44.304265
[Eval] Iter: 8500 | Acc: 0.7656 | 2025-02-15 11:35:23.684005
[Eval] Iter: 9000 | Acc: 0.8921 | 2025-02-15 11:36:03.061834
[Eval] Iter: 9500 | Acc: 0.9416 | 2025-02-15 11:36:42.458626
[Eval] Iter: 10000 | Acc: 0.9406 | 2025-02-15 11:37:21.860729
[Eval] Iter: 10500 | Acc: 0.6252 | 2025-02-15 11:38:01.262890
[Eval] Iter: 11000 | Acc: 0.9487 | 2025-02-15 11:38:40.633255
[Eval] Iter: 11500 | Acc: 0.7207 | 2025-02-15 11:39:20.014893
[Eval] Iter: 12000 | Acc: 0.8345 | 2025-02-15 11:39:59.439896
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.666068 =====

=====Mean Valid IoU Is: 0.666068 =====
=====Best Valid IoU Is: 0.669182 =====
=====[Train] Iter: 12499 | Loss: 0.2009 | Accuracy: 0.939616 =====
=====[Train] Iter: 12999 | Loss: 0.1861 | Accuracy: 0.950521 =====
=====[Train] Iter: 13499 | Loss: 0.5205 | Accuracy: 0.740072 =====
=====[Train] Iter: 13999 | Loss: 0.2369 | Accuracy: 0.931315 =====
[Eval] Iter: 500 | Acc: 0.7664 | 2025-02-15 11:47:19.368521
[Eval] Iter: 1000 | Acc: 0.8859 | 2025-02-15 11:47:58.716254
[Eval] Iter: 1500 | Acc: 0.9634 | 2025-02-15 11:48:38.083039
[Eval] Iter: 2000 | Acc: 0.8665 | 2025-02-15 11:49:17.425758
[Eval] Iter: 2500 | Acc: 0.7707 | 2025-02-15 11:49:56.768164
[Eval] Iter: 3000 | Acc: 0.8174 | 2025-02-15 11:50:36.107215
[Eval] Iter: 3500 | Acc: 0.7375 | 2025-02-15 11:51:15.455680
[Eval] Iter: 4000 | Acc: 0.8371 | 2025-02-15 11:51:54.797962
[Eval] Iter: 4500 | Acc: 0.6924 | 2025-02-15 11:52:34.162171
[Eval] Iter: 5000 | Acc: 0.8286 | 2025-02-15 11:53:13.541273
[Eval] Iter: 5500 | Acc: 0.8779 | 2025-02-15 11:53:52.886785
[Eval] Iter: 6000 | Acc: 0.9264 | 2025-02-15 11:54:32.234946
[Eval] Iter: 6500 | Acc: 0.6991 | 2025-02-15 11:55:11.598748
[Eval] Iter: 7000 | Acc: 0.7660 | 2025-02-15 11:55:50.956599
[Eval] Iter: 7500 | Acc: 0.9022 | 2025-02-15 11:56:30.321411
[Eval] Iter: 8000 | Acc: 0.9067 | 2025-02-15 11:57:09.690176
[Eval] Iter: 8500 | Acc: 0.7603 | 2025-02-15 11:57:49.067405
[Eval] Iter: 9000 | Acc: 0.8470 | 2025-02-15 11:58:28.402712
[Eval] Iter: 9500 | Acc: 0.9383 | 2025-02-15 11:59:07.754769
[Eval] Iter: 10000 | Acc: 0.9658 | 2025-02-15 11:59:47.121994
[Eval] Iter: 10500 | Acc: 0.6834 | 2025-02-15 12:00:26.499461
[Eval] Iter: 11000 | Acc: 0.9585 | 2025-02-15 12:01:05.836744
[Eval] Iter: 11500 | Acc: 0.8128 | 2025-02-15 12:01:45.196376
[Eval] Iter: 12000 | Acc: 0.8636 | 2025-02-15 12:02:24.556167
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.674506 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.674506 =====
